ctp
CENTRO DE CAPACITACIÓN COMPUTADORAS DE GRANADA
CENTRO DE OPTIMIZACIÓN EMPRESARIAL C.O.E
COLEGIO MARÍA AUXILIADORA SECUNDARIA -GRANADA
COLEGIO TÉCNICO NUESTRA SEÑORA DE GUADALUPE(GRANAD
CASA DE LA MUJER CLAUDIA CHAMORRO
COLEGIO SAN PABLO APÓSTOL
AULA DE INFORMÁTICA SAN MARCOS (Hijos del Maíz)
AMERICAN BRITISH COLLEGE ABC
ESCUELA TECNICA EMPRENDEDORA
BOMBEROS UNIDOS SIN FRONTERAS-NICARAGUA
CENTRO DE COMPUTACIÓN HOSANNA
COLEGIO DIOCESANO INMACULADA CONCEPCIÒN- GRANADA
FREEMAN'S HOUSE LANGUAGE INSTITUTE
INST. TECNICO JUAN PABLO II
CENTRO DE FORMACIÓN DE LA MUJER CAMPESINA FR. ANTONINO VACCA
ASOCIACIÓN DE EDUCACIÓN Y COMUNICACIÓN LA CUCULMECA
CENTRO ESCOLAR FLOR DE MARIA RIZO LOPEZ LOS POTRERILLOS
CASA DE LA MUJER EN JINOTEGA (amnlae)
ESCUELA TÉCNICA ELIZABETH LINDER APRODELBO
CETEC-PLUS JINOTEGA
INSTITUTO TÉCNICO SANTA LUISA DE MARILLAC
ESCUELA DE CAPACITACION TECNICA EN CAFICULTURA
CENTRO TECNICO AGROPECUARIO LA BASTILLA
INSTITUTO DE INFORMÁTICA Y COMPUTACIÓN, ENSEÑANZA PERSONALIZADA
INST. DE CAPAC. E INV. EN DES. RURAL INTEGRAL (ICIDRI-UPOLI)
INSTITUTO DE FORMACION TÉCNICA (IFOT)
POLITECNICO LA PAZ CENTRO (NO EXISTE)
CENTRO EXPERIMENTAL LA ASUNCIÓN
UNDERWOOD INSTITUTE & CIA. LTDA.
CENTRO DE ENSEÑANZA EMPRESARIAL CEEM
COLEGIO AMERICANO NICARAGUENSE # 2 (LEÓN)
COLEGIO MI MUNDO
CENTRO CIENTÍFICO DE COMPUTACIÓN(CENCICOMP)
INST. POLITÉCNICO LA SALLE (IPLS)
INSTITUTO DE FORMACIÓN Y CAPACITACIÓN ADIACT
POLITECNICO DE OCCIDENTE
ESCUELA DE DESARROLLO LOCAL (XOCHILT ACALT)
CENTRO DE FORM. LABORAL ASOC. NIÑOS DEL FORTIN
INST. DE CAP. Y EST. ARAGON ARGEÑAL ALIANZA AMERICANA CIA.
POLITECNICO LA PAZ CENTRO
INSTITUTO PRIVADO DE COMERCIO NUEVAS ORIENTACIONES
INSTITUTO TÉCNICO CREATIVO ITC
GESTIÓN Y CAPACITACIÓN EMPRESARIAL (GCE)
CENTRO DE FORM. MISIONEROS MARIANOS EN EL ESPIRITU SANTO-CER
CENTRO TÉCNICO ASOCIACIÓN LAS TIAS
ASOCIACION DE MUJERES CRISTIANAS DIOS ES AMOR
INSTITUTO DE PROMOCION HUMANA INPRHU # 3(Somoto)
INST. COMPUTACION MAMÁ MARGARITA( AFPF)
INST.DE COMP.RAFAEL MARIA FABRETTO(AFPF)
INST. DE COMPUTACIÓN MIGUEL MAGONE (AFPF)
CENTRO DE FORMACIÓN PARA EL DESARROLLO HUMANO DE MADRIZ
ASOCIACIÓN ALIANZA FRANCESA DE MANAGUA -INACTIVO
ASOCIACION DE CONSULTORES ACODEP/PRODEM (ACODEP)
ACADEMIA DE BELLEZA ELEGANZZA
SERVICIOS PROFESIONALES ESCOBAR S.A SERPESA
CENTRO DE COMPUTACIÓN SIGLO XXI (CERRAD0)
CENT.TÉC. FORM.Y CAP.DE PROM. SOC. J.P.II CARITA DE NIC.(cer
ULTRA DE NICARAGUA (ULTRANIC) -CERRRADO
INST. NIC. DE INVEST. Y ESTUD TRIBUT (INIET)
INST. TECNOLOGICO DE GERENCIA Y LIDERAZGO IGL
INST. DIDÁCTICO JOSÉ DOLORES ESTRADA -INTAE Managua
INST. DE CAPACITACIÓN Y SISTEMAS ICS
ACADEMIA PROFESIONAL DE BELLEZA MARIA MERCEDES
CENTRO DE FORMACION Y DESARROLLO JUVENIL JUVENTUD
ACADEMIA DE POLICIA WALTER MENDOZA
ASOCIACIÓN CENTRO CULTURAL BATAHOLA NORTE
CENTRO JUVENIL DON BOSCO - MANAGUA
ACADEMIA DE BELLEZA JOSPHINE
CENTRO DE CAPACITACIÓN COMPU GO!
CAMARA DE INDUSTRIA DE NICARAGUA ( CADIN)
COLEGIO DE CONTADORES PÚBLICOS DE NICARAGUA
INSTITUTO DE BELLEZA BON CHIC
CENTRO HOGAR ZACARÍAS GUERRA
TRAINING QUALITY NICARAGUA,S.A.
WATCHTOWER CENTER
INSTITUTO BARQUERO
Instituto de Capacitación del Talento Humano INCATH,S.A.-CER
ESCUELA CENTROAMERICANA DE COMERCIO
COLEGIO CENTROAMERICA UNIDA CETCAU
COLEGIO SAN FRANCISCO XAVIER- FE Y ALEGRIA
COLEGIO NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA
ASESORIA TRIBUTARIA S.A. (ATRISA)
CENTRO DE CAPAC. DE DESARROLLO INTEGRAL,S.A. (CEDAI, S.A.)
CENTRO NIC. DE ENSEÑANZA AUDIOVISUAL Y CINEMATOGRAFICA CNEAC
Inst. Latinoamericano de Ciencias Juridicas y Emp.ILAJE
KNOWLEDGE FOR DEVELOPMENT S.A. KDSA
LACAYO Y URBINA GLOBAL GROUPS, S.A
TECNOSERVICIOS COMPUTARIZADOS DE NICARAGUA S.A TECNOCOMP
Fundacion para la promocion de salud y seguridad de los trab
TECNIGERENCIA S.A
SOLUCIONES DE INGENIERIA CAPACITACION Y COMERCIO S,A
CAPACITACIONES EMPRESARIALES Y CONSULTORIAS S.A.(CEYCO S.A.)
INSTITUTO DE CAPACITACION EMPRESARIAL & CONSULTORES CLAVIJO
INSTITUTO IBEROAMERICANO BILINGUE
ESCUELA TÉCNICA CASA NAZARETH
Centro de Cap y Des Empres Cecade S.A.
FIGUEROA ESPINAL S.A OCFESA
INST. COMP. Y COMERCIO INDEPENDENCIA # 1
CENTRO DE CAPACITACIÓN Y SERVICIOS MÚLTIPLES CENSEM
INSTITUTO DE DESARROLLO EMPRESARIAL S.A. INDEM
CENTRO DE INVESTIGACION Y ESTUDIOS JURIDICOS- A&BCIESJ
NIHAO ACADEMIA DE CHINO MANDARIN
SOCIAL ENTREPRENEURS GROUP
MEKED S.A
Centro de Enseñanza Tecnica Vocacional
INSTITUTO TECNOLÓGICO Y COMERCIO NACIDOS PARA EXALTAR A DIOS
CENTRO DE FORMACIÓN TÉCNICA INTEGRAL CFORTI
DYNAMIC BUSINESS, S.A.
CENTRO ESTRATÉGICO DE CAP. Y ASES. EMPR. DE NIC. CESCAEN S.A
ESCUELA CREATIVA ND
AC CONSULTORES SOCIEDAD ANONIMA
CONSULTING GROUP BUSINESS, S.A
SOLUCIONES INTEGRALES PARA LA GESTIÓN DEL RIESGO AMBIENTAL Y LABORAL SIGRAL
CENTRO DE FORMACION Y DESARROLLO EMPRESARIAL S.A (CEFODE)
INSTITUTO NACIONAL DE FORMACIÓN EMPRE. Y COMERCIAL INFEC
INSTITUTO DE CAPACITACIONES Y ASESORIA, S.A. ITCASA
COOPERATIVA DE SERVICIOS PROFESIONALES MORAZAN RL COPROMOR
CENTRO TÉCNICO ESMERALDA CENTES
CAMBIO CULTURAL S.A
HM CONSULTORES, S.A
CENTRO DE EDUCACION Y MENTORIA SOCIEDAD ANONIMA (CEM S.A)
MULTI CONSULT GROUP, SOCIEDAD ANONIMA
CAPACITACION PARA EMPRENDEDORES
COLEGIO AMERICANO NICARAGUENSE # 1-AMERICAN NICARGUAN SCHOOL
ESCUELA OBRERA CAMPESINA INTERNACIONAL FRANCISCO MORAZÁN -CE
INSTITUTO TECNICO EN COMPUTACION BAUTISTA BELEN (ITCBB)cerr
ILCOMP
ESCUELA DE FORMACIÓN TÉCNICA CEB (Comunidades Eclesiales)
ALO SALÓN INTERNATIONAL BEAUTY ACADEMY
ACADEMIA ESTHER INDEF Managua
ACADEMIA ESTHER INDEF-TIPITAPA - INACTIVOTEMPORAL
INSTITUTO NICARAGÜENSE DE COMPUTACIÓN INC
ESCUELA NORMAL MARÍA MAZZARELLO
FUNDACIÓN PARA EL APOYO A LA MICROEMPRESA FAMA
INSTITUTO TECNICO LA INMACULADA
INSTITUTO TÉCNICO ESPECIALIZADO JUAN PABLO II
COLEGIO ROBERTO CLEMENTE/ASOC. REL. FE Y ALEG. NIC.
ACADEMIA DE EXPORTACIÓN
COLEGIO TÉCNICO NIÑO JESÚS DE PRAGA
FUNDACIÓN HEDWIG Y ROBERT SAMUEL
CENTRO CULTURAL NICARAGUENSE NORTEAMERICANO CCNN (VILLA TIS
CENTRO DE CAPACITACIÓN EMPROCAP
PRESELECCIÓN EMPRESARIAL,S.A.
CENTRO DE ESTUDIOS ADMINISTRATIVOS ÁNGEL DE LA GUARDA NO.2
CENTRO DE ESTUDIOS ADMINISTRATIVOS ÁNGEL DE LA GUARDA NO.3
CENTRO EDUCATIVO XILONEM
SYDICOM # 3 (Bello Horizonte)
SYDICOM # 5 (Altamira)
ESCUELA SELECT (CORPORACIÓN DE INVERSIONES TURÍSTICAS S.A)-
INSTITUTO DE INFORMATICA Y SISTEMAS -ISI #1(Colonial)-CERRAD
ASOCIACION CIVIL EMPRENDEDORES JUVENILES DE NICARAGUA
CETEC-PLUS MANAGUA
ASOCIACION DAMAS SALESIANAS MA. AUXILIADORA- MANAGUA
CENTRO MA. AUXILIADORA #2 ASOCIACIÓN DAMAS SALECIANAS CERRAD
INSTITUTO TECNOLÓGICO CENTRAL ITC
INST. DE COMP.DOMINGO SAVIO (AFPF)
INST. DE COMPUTACIÓN SAN FRANCISCO (AFPF)
CENTRO EDUCATIVO SOR MARÍA ROMERO
MILLENIUM S.A - Tipitapa
COLEGIO S.O.S HERMANN GMEINER - MANAGUA-CERRRADO
SILHUETAS MODELOS E IMPULSADORAS
INSTITUTO CENTRAL NICARAGUENSE ICN (MANAGUA)
CENTRO DE CAPACITACIÓN COMERCIAL # 1 (Plaza España)
CENTRO DE CAPACITACIÓN COMERCIAL # 2 (Roberto Huembes)
CENTRO DE CAPACITACIÓN COMERCIAL # 3 ( Belmonte)
CENTRO DE INVESTIGACION, CAPAC. Y FORM. AMBIENTAL CICFA
CENTRO DE CAPACITACIÓN QUIJANOS Y ASOCIADOS
ESCUELA DE BOMBEROS DE MANAGUA
CENTRO DE CAPACITACIÓN PROFESIONAL(CENCAP)
INSTITUTO CENTROAMERICANO DE SEGURIDAD PRIVADA INCASPRI- CER
MOVIMIENTO INFANTIL LUIS ALFONSO VELASQUEZ FLORES MILAV-CERR
CENTRO DE ESTUDIOS COMPUTARIZADOS NICARAGUENSE CECNIC
INSTITUTO TÉCNICO DE CAPACITACIÓN PROFESIONAL INTECAP CERRAD
MEGABYTE SERVICE S.A- Managua
CENTRO NICARAGUENSE DE CAPACITACIÓN INFORMÁTICA CENCI (CERRA
CENTRO EDUCATIVO INTERNATIONAL LINCOLN COMPUTER ENGLISH CENTER, S.A
CENTRO EDUCATIVO EDUARDO CONTRERAS
INSTITUTO TECNOLÓGICO SUPERIOR INTERAMERICANO ITSI- BELLO H
INSTITUTO TECNOLÓGICO SUPERIOR INTERAMERICANO ITSI-ALTAMIRA
CENTRO DE CAPACITACIÓN BALFOR S.A.
ACAD. DE BELLEZA JOHANNA (María Lourdes Ruíz Castillo) -CERR
ASOCIACIÓN DE MUJERES CONSUELO BUITRAGO AMUCOBU
INSTITUTO NIC. ENTRENAMIENTO Y CAPAC. HUMANÍST. INECHSA
ESC. DE CORTE Y CONFECCIÓN MADRE MA. TERESA DE SAN JOSÉ CERR
ENGLISH SCHOOL (ESCUELA DE INGLÉS)
FUND. PARA EL DESARROLLO SOCIAL DE NICARAGUA FUNDESONIC(cerr
ADENSA INSTITUTO TECNOLOGICO
ACADEMIA DE BELLEZA MINERVA. cerrrado
CENTRO DE FORMACIÓN Y DESARROLLO INTEGRAL (CEFODI)
INSTITUTO CRISTIANO EL ALFARERO
HOGAR INFANTIL COMUNITARIO RAYTÍ BOCAY
INSTITUTO CENTROAMERICANO DE ROBLETO
INSTITUTO TÉCNICO VOCACIONAL Ma. AUX. ITVOMA (MONTOYA)CERRAD
INSTITUTO TECNO EMPRENDEDOR CENTROAMERICANO S.A ITECA-CERRAD
COLEGIO PAN Y AMOR
ESC. NAC. TECN. PEDAGOGICA EN ARTES PLASTICAS LUROSAGA
INSTITUTO DE CIENCIAS ADMINISTRATIVAS Y ECONOMIA IDCAE
CENTRO INTERNACIONAL DE CAPAC. Y SERVICIOS ESPEC. CICSE (CER
CENTRO CAD NICARAGUA
CENTRO DE ENTRENAMIENTO EMPRESARIAL S,A CDEMSA
MBA SERVICES CORPORATION S.A (DESAPARECIDO)
INSTITUTO DE ENSEÑANZA Y FORM. COMPUTACIONAL HEFZI-BA CERRAD
ASOC. DE MUJERES PROF. AL SERVICIO DE LA EDUC. (AMPROSE CERR
CENTRO DE FORMACIÓN REINALDO ANTONIO TÉFEL No. 1(INPRH(cer)
INTERNATIONAL BUSINESS SOLUTIONS (I.B.S.)
INSTITUTO DE ESTUDIOS TECNOLOGICOS Y GERENCIALES IETG (CERRA
SOLUCIONES TECNOLÓGICAS DE CAPACITACIÓN S.A.SOLTECAP
INSTITUTO DE CAP. Y DESARROLLO EMPRESARIAL S.A.-INCYDE
CENTRO DE FORMACION AGROINDUSTRIAL EL RODEO
CENTRO TÈCNICO HOGAR DE FE
ACADEMIA DE CONTABILIDAD & TRIBUTARIA
SEMINARIO MISIÓN LATINOAMERICANO (SEMILLA)
INST. DE HAB.FORM.CAPAC. TÉCN DE LOS TRAB.(IHFOCATT)
ACADEMIA NACIONAL DE BOMBEROS ALVARO DIROY MENDEZ
ESC. NAC. DIR. GRAL. DE MIGRACION Y EXTRAJ. CMDTE RICARDO
Esc. para Estudios Penitenciarios Sub Cmdte Alfonso Quiroz
ASOCIACIÓN CIVIL CUERPO DE BOMBEROS VOLUNTARIOS DE NICARAGUA
INSTITUTO TECNOLÓGICO DE SOLDADURA ITS CASA MCGREGOR
INSTITUTO TECNICO KOREAN CHRISTIAN ACADEMY (KCA)
INSTITUTO NICARAGUENSE DEL CEMENTO Y DEL CONCRETO (INCYC)
NICARAGUA MACHINERY COMPANY NIMAC
INSTITUTO TECNOLOGICO EMPRESARIAL ITEM
ESCUELA DE COMERCIO SILVIANO MATAMOROS Managua
INST. NAC. DE COMPUTACION ELECTRONICA Y COMERCIO INCECSA
INST. TEC. CAP. PROF. INFORM. BALMACEDA CAPROIN & CIA LTDA
ALIADOS ESTRATEGICOS, S.A.
INSTITUTO TÉCNICO DE DESARROLLO PROFESIONAL
FUNDACION VICTORIA-COMPAÑIA CERVECERA DE NICARAGUA
SOLUCIONES CONTABLES, LEGALES Y FISCALES S.A.
CENTRO DE CAPACITACIÓN LIRIO DE LOS VALLES
ESCUELA ADUANERA DE NICARAGUA
SILVA Y SOBALVARRO CONSULTORES EMPRESARIALES S.A. S&S
INSTITUTO TÉCNICO DE COMPUTACIÓN Y COMERCIO Y CIA. LTDA ITECC ROBERTO HUEMBES
INSTITUTO TÉCNICO DE COMPUTACIÓN Y COMERCIO ITECC MONTOYA
CENTRO DE CAPACITACIÓN DE FUTURO CENCAF
SILVA & VENDAÑA CONSULTORES, S.A.
ACADEMIA DE INGLÉS - COLEGIO BAUTISTA
GOCARE INC N°2 (CUAJACHILLO)
INSTITUTO DE CAPACITACION Y LIDERAZGO EMPRESARIAL INSLIDER
CENTRO ACADÉMICO DE COMPUTACIÓN JEREMÍAS 33:3
INST. DE CAPAC. PROFESIONAL Y SERVICIOS AVANZADOS INCAPSA
CENTRO DE FORMACION PROF. Y DESARROLLO ORGANIZACIONAL CRECE
ACADEMIA DE COMERCIO TECNOLOGICO Y AUDIOVISUAL
ESCUELA POLITÉCNICA DE COMERCIO
MARTÍNEZ OSABÁ & COMPAÑÍA LIMITADA
COMPUTER TRAINING CENTER CENTERCOM
ASOCIACIÓN PRODUCTORES NACIONALES DE LA MIEL PRONAMIEL
INSTITUTO DE FORMACIÓN Y DESARROLLO EMPRESARIAL (IFDEN)cerra
CONSULTING INTERNATIONAL CORP, S.A COINTCORP
CENTRO DE NEGOCIOS Y CAPACITACIÓN (CENYCA)
CENTERCOM
TM CONSULTORES S.A.
CENTRO DE FORMACION EMPRESARIAL - CCSN
CENTRO DE CAPACITACIÓN DIVINO´S PASTOR Managua
VALOR HUMANO S.A
ROOSEVELT INSTITUTE, LANGUAGE CENTER
INSTITUTO DE DESARROLLO GENERAL IDG
SYEDUCA
INSTITUTO DE FORMACIÓN PROFESIONAL SERGIO MALTEZ
CONSULTORÍA, AUDITORÍA Y CAPACITACIÓN CORPORATIVA, S.A
DLH CONSULTORES,S.A.
FUNDACIÓN INSTITUTO MONSEÑOR LEZCANO
INSTITUTO TECNOLOGICO DE ESTUDIOS POR INTERNET TEC-VIRTUAL
CENTRO DE CAP. DE DESARROLLO PROFESIONAL CECADEPRO
CENTRO DE CAPAC,ASESORIA Y PERFECCIONAMIENTO S.A.CCAPSA
ESCUELA TÉCNICA EL BUEN PASTOR
CENTRO TECNOLÓGICO FUENTE DE VIDA ETERNA
DYNAMIC PEOPLE GROUP S.A.
DESARROLLO HUMANO, CONSULTORÍA Y OUTSOURCING DESHCO, S.A.
ACADEMIA DE BELLEZA PROFESIONAL VALDIVIA R.J.
INSTITUTO TECNOLÓGICO DE ADMINISTRACIÓN ADUANERA y COMERCIO INTERNACIONAL, S.A.
SUCCESS FACTOR, S.A
CENTRO BRAVO GROUP
ESCUELA TALLER DE COSTURA Y COMPUTACION MONIMBÓ
COLEGIO MARÍA AUXILIADORA MASATEPE
Asociación Centro de Formación Juvenil CEFOJ
INSTITUTO IBEROAMÉRICANO BILINGUE, S. A.
COLEGIO SALESIANO DON BOSCO
INSTITUTO LATINOAMERICANO DE COMPUTACIÓN ILCOMP MASAYA CERRA
ASOCIACION MASAYA SIN FRONTERA MASINFA
INSTITUTO TÉCNICO DE COMPUTACION (INTECOMP)
CETEC-PLUS MASAYA
SERVICIOS COMPLETOS COMPUTARIZADOS SERVICOMPU
ACADEMIA DE CIENCIAS COMERCIALES
INTAE CARDENAL MIGUEL OBANDO Y BRAVO
FUNDACIÓN CRISTIANA PARA EL DESARROLLO EDUCACIONAL (Faro de
ASOCIACION DAMAS SALESIANAS CENTRO Masaya- INACTIVO
INST. DE CAPACITACIÓN, ASESORIA Y DES. EMPRESARIALINCADE(c
INSTITUTO DE CAPACITACION EMPRESARIAL
INSTITUTO TÉCNICO JOSÉ MARTÍ - MATAGALPA
JENSOFT ENTERPRISE
ESCUELA TÉCNICA AGROPECUARIA SANTA EMILIA, MATAGALPA
INSTTUTO TÉCNICO SAN FRANCISCO DE ASIS Matagalpa
VISIONS NICARAGUA, S.A - Escuela Vera Angelita
ACADEMIA CREARTE
CENTRO DE COMPUTACIÓN DR. UBEN RODRIGUEZ
ST. GEORGE ENGLISH ACADEMY # 2 (MATAGALPA)
CENTRO TÉCNICO RURAL AGROPECUARIO ABIAYALA
ESCUELA DEL CAFÉ, COMANDANTE HUGO CHAVEZ FRÍAS
CETEC-PLUS MATAGALPA
INST. DE COMPUTACION BILINGUE II
ESCUELA TÉCNICA DE AGUA POTABLE ETAP
INSTITUTO NICARAGUENSE DE COMPUTACION Y COMERCIO INCCO- CERR
ESCUELA DE BOMBEROS DE MATAGALPA MAYOR MANUEL GAMEZ
INST. DE FORMACIÓN TÉCNICA EN COMPUTACIÓN INFORTEC MATAGALP
ENGLISH LANGUAGE SCHOOL
INSTITUTO TECNOLÓGICO JEHOVÁ JIREH
CENTRO DE DESARROLLO TECNOLÓGICO JUVENIL JOVEN NICA
CENTRO INTEGRAL DE EDUCACIÓN C.I.E JALAPA
COLEGIO INMACULADA CONCEPCION FE Y ALEGRIA(Ocotal)
CENTRO TÉCNICO PARA LA ADMINISTRACIÓN Y ECONOMÍA NICARAO CETAE
ACADEMIA DE COMPUTACION ADEC
CENTRO TECNOLOGICO FUNDENUSE
TECNOLÓGICO MARÍA ALBIR, PADRE FABRETTO
FUNDACION INSTITUTO DE LIDERAZGO DE LAS SEGOVIAS
CENTRO INDÍGENA DE CAPACITACIÓN AGROPECUARIA CICA
CENTRO MULTIÉTNICO DE CAPACITACIÓN AGROPECUARIA CMECA
INSTITUTO TECNICO DE WASLALA UBALDO GERVASONI (INTEWAS)
INST. TECNICO ARCO DEL TRIUNFO
CENTRO DE EDUCACIÓN AMBIENTAL Y AGROFORESTAL. DE WAWASHANG-RAAS
CENTRO DE FORMACIÓN TECNOLÓGICO VALOR, PADRE FABRETTO
INSTITUTO POLITÉCNICO SAN FRANCISCO DE ASIS (EL AYOTE)
INSTITUTO TÉCNICO AGROP. Y EMPRESARIAL S.A. (INTAEM)CERRAD
Instituto Tecnico Vocacional Ruben Dario
INST.NAC.TECNOLOGICO AGROPECUARIO Y FORESTAL (INTAF No. 2)
CETEC CENTRO DE ESTUDIOS TECNOLOGICOS
CENTRO DE ATENCIÓN A LA NIÑEZ Y ADOL. RAYITOS DEL SOL CERRAD
CENTRO DE CIENCIAS COMERCIALES, S.A. CECICOSA.
CASA DE LA MUJER SONIA BELLO- AMNLAE
ESCUELA SAN MIGUEL ( CARDENAS )
EMPRESA DE SEGURIDAD PRIVADA ESTRELLA S.A
INSTITUTO TECNOLÓGICO MARGARET MORGANROTH
TELECENTRO AULANET ANITA HOLMANN
INTERACTIVE SYSTEMS OF COMPUTER INSCOMP # 1(Rivas)
FUND. P/ LA PROM. DE LA EDUC. TEC. Y VOC. EL LIMON FUNLIMON
